FECHA,TMAX,TMIN,NOMBRE
Mar-23,35.2,22.4,RIO COLORADO
Mar-23,35,21.5,RIO CUARTO AERO
Mar-23,22.2,4.4,RIO GALLEGOS AERO
Mar-23,18,2.8,RIO GRANDE B.A.
Mar-23,38,24.3,RIVADAVIA
Mar-23,38,24.4,ROSARIO AERO
Mar-23,30.5,16.4,SALTA AERO
Mar-23,36.8,18,SAN ANTONIO OESTE AERO
Mar-23,,,SAN CARLOS (MZA)
Mar-23,35.4,25.2,SAN FERNANDO AERO
Mar-23,35.5,22.5,SAN JUAN AERO
Mar-23,23.3,8.9,SAN JULIAN AERO
Mar-23,34.6,23.5,SAN LUIS AERO
Mar-23,33.2,21,SAN MARTIN (MZA)
Mar-23,32.1,17.8,SAN RAFAEL AERO
Mar-23,22.8,3.1,SANTA CRUZ AERO
Mar-23,34.8,21.9,SANTA ROSA AERO
Mar-23,36,,SANTA ROSA DE CONLARA AERO
Mar-23,38.6,23.2,SANTIAGO DEL ESTERO AERO
Mar-23,38.3,25.1,SAUCE VIEJO AERO
Mar-23,38.5,22,SUNCHALES AERO
Mar-23,36.9,19.5,TANDIL AERO
Mar-23,37.5,22,TARTAGAL AERO
Mar-23,36.7,26,TERMAS DE RIO HONDO AERO
Mar-23,37.5,20,TINOGASTA
Mar-23,30,22.9,TRELEW AERO
Mar-23,,22.7,TRENQUE LAUQUEN
Mar-23,36.7,22.5,TRES ARROYOS
Mar-23,36.7,25.5,TUCUMAN AERO
Mar-23,16.4,5.2,USHUAIA AERO
Mar-23,27.5,15,USPALLATA
Mar-23,38.5,20.4,VENADO TUERTO AERO
Mar-23,32.2,20,VICTORICA
Mar-23,,23.6,VIEDMA AERO
Mar-23,38,23.1,VILLA DE MARIA DEL RIO SECO
Mar-23,37.2,25.4,VILLA DOLORES AERO
Mar-23,36.8,23,VILLA GESELL AERO
Mar-23,34.5,18.9,VILLA REYNOLDS AERO
Mar-23,35.6,26.5,AEROPARQUE AERO
Mar-23,36,18.9,AZUL AERO
Mar-23,37,16.5,BAHIA BLANCA AERO
Mar-23,23.2,7.3,BARILOCHE AERO
Mar-23,-7,-16.6,BASE BELGRANO II
Mar-23,4,2.2,BASE CARLINI (EX JUBANY)
Mar-23,4,0.4,BASE ESPERANZA
Mar-23,2.1,-1.4,BASE MARAMBIO
Mar-23,5.2,-0.2,BASE ORCADAS
Mar-23,3.9,-4.3,BASE SAN MARTIN
Mar-23,33,17.3,BENITO JUAREZ AERO
Mar-23,29,19.8,BERNARDO DE IRIGOYEN AERO
Mar-23,38.5,20,BOLIVAR AERO
Mar-23,38.9,25.5,BUENOS AIRES OBSERVATORIO
Mar-23,,23.1,CAMPO DE MAYO AERO
Mar-23,38.1,27.4,CATAMARCA AERO
Mar-23,37,21.1,CERES AERO
Mar-23,39.5,20,CHAMICAL AERO
Mar-23,25.4,4.5,CHAPELCO AERO
Mar-23,35.5,22.8,CHEPES
Mar-23,,23,CHILECITO AERO
Mar-23,36,17.2,CIPOLLETTI
Mar-23,31.4,18.1,COMODORO RIVADAVIA AERO
Mar-23,39,23.6,CONCORDIA AERO
Mar-23,36.5,22.6,CORDOBA AERO
Mar-23,37.5,25,CORDOBA OBSERVATORIO
Mar-23,33.2,18,CORONEL PRINGLES AERO
Mar-23,34.3,18.1,CORONEL SUAREZ AERO
Mar-23,37,22.8,CORRIENTES AERO
Mar-23,37.5,20.3,DOLORES AERO
Mar-23,28.5,10.6,EL BOLSON AERO
Mar-23,19.4,3.5,EL CALAFATE AERO
Mar-23,39.5,23.2,EL PALOMAR AERO
Mar-23,35.6,19.5,ESCUELA DE AVIACION MILITAR AERO
Mar-23,27.5,,ESQUEL AERO
Mar-23,39.6,22.3,EZEIZA AERO
Mar-23,38.4,23.3,FORMOSA AERO
Mar-23,38.5,19.6,GENERAL PICO AERO
Mar-23,20.4,10,GOBERNADOR GREGORES AERO
Mar-23,40.5,25,GUALEGUAYCHU AERO
Mar-23,32,21.7,IGUAZU AERO
Mar-23,37,20.5,ITUZAINGO
Mar-23,34.5,15.5,JACHAL
Mar-23,35.2,19.8,JUJUY AERO
Mar-23,31.9,17,JUJUY U N
Mar-23,39.4,20.6,JUNIN AERO
Mar-23,39.1,21.8,LA PLATA AERO
Mar-23,21.5,5,LA QUIACA OBSERVATORIO
Mar-23,39.6,26.4,LA RIOJA AERO
Mar-23,38.5,20,LABOULAYE AERO
Mar-23,38.5,19.5,LAS FLORES
Mar-23,36.1,23,LAS LOMITAS
Mar-23,33,14,MALARGUE AERO
Mar-23,30.8,8,MAQUINCHAO
Mar-23,25.9,19.7,MAR DEL PLATA AERO
Mar-23,38,18.8,MARCOS JUAREZ AERO
Mar-23,40,,MARIANO MORENO AERO
Mar-23,35.6,22.5,MENDOZA AERO
Mar-23,33.8,20.4,MENDOZA OBSERVATORIO
Mar-23,38.2,23.5,MERCEDES AERO (CTES)
Mar-23,,25,MERLO AERO
Mar-23,32.5,21,METAN
Mar-23,,24,MONTE CASEROS AERO
Mar-23,40,26,MORON AERO
Mar-23,35.5,16,NEUQUEN AERO
Mar-23,39.4,19.9,NUEVE DE JULIO
Mar-23,35.5,22,OBERA
Mar-23,35.1,19.1,OLAVARRIA AERO
Mar-23,36.5,24.7,ORAN AERO
Mar-23,38.1,24.6,PARANA AERO
Mar-23,,12.5,PASO DE INDIOS
Mar-23,38.3,23.3,PASO DE LOS LIBRES AERO
